,2017,2016,2015,2014,2013
负债占资产比率(%),0.721093013607,0.629894529716,0.298971765238,0.291936949907,0.409938599128
长期资金占不动产及设备比率(%),0.0,0.0,0.0,0.0,0.0
流动比率(%),1.07082005371,1.24844186475,2.75184294393,2.80326941976,1.36751030523
速动比率(%),1.00723601281,1.18273370686,2.22655535485,1.62717099714,0.992927417706
应收款项周转率,1.05714941188,3.56044912989,18.3026684453,1.96700832456,1.34971567061
应收款项周转天数,340.538429056,101.110839354,19.6692630409,183.019052591,266.722842327
存货周转率,21.5848173346,4.61162519635,3.45146079898,3.10129390483,0.877587684221
存货周转天数,16.6783899266,78.0635859751,104.303661831,116.08058154,410.215419465
固定资产周转率,39.9172703055,45.9654408986,3.36278745677,12.649755665,1.54715901786
总资产周转率,0.55958223929,0.803597190474,1.49309271064,0.47507397353,0.367101093163
ROA=资产收益率,0.0203450917067,0.0858410866714,0.0972092098756,0.0213621806033,0.0466388625401
净资产收益率,0.0642127827321,0.115713249962,0.159073575953,0.0328997463475,0.0538115744817
ROA=税前纯益占实收资本比率,1.04769575246,1.38473904002,0.72301317429,1.32671305498,0.182801192496
毛利率,0.118238771312,0.131479370827,0.237345255858,0.404354374766,0.264288122332
营业利润率,0.0434691258813,0.0524959547228,0.107874429012,0.0777766185928,0.0646488994075
净利率,0.07476964543058018,0.07898341610418197,0.12947082684561773,0.32657775617302875,0.1996392229247208
营业费用率,0.07476964543058018,0.07898341610418197,0.12947082684561773,0.32657775617302875,0.1996392229247208
经营安全边际率,0.3676385114542535,0.3992714172011962,0.4545042563513908,0.19234766196819997,0.244615228399328
EPS=基本每股收益,0.878890911084,0.995929524754,0.597568214205,1.13348046685,0.163975541733
营收增长率,-0.0771152677101,0.106349191085,0.201594329421,0.202559080877,-0.162595118158
毛利率,0.118238771312,0.131479370827,0.237345255858,0.404354374766,0.264288122332
营业利润率,0.0434691258813,0.0524959547228,0.107874429012,0.0777766185928,0.0646488994075
净利增长率,-0.117516963561,0.277916843037,0.174189307618,-0.198791253036,-0.422502007244
净资本增长率,0.40428347963,-0.0688877716098,0.423201219138,0.598796842244,0.0394760795911
现金流量比率,0.0,0.0,0.205398177687,0.205926845898,0.116049854588
现金再投资比率,0.0,0.0,0.0587171597759,0.0803749982533,0.0257974203453
